"","runner","gender","age","course","vp","time"
"379",118,0,31,9,0,130.6
"380",118,0,32,28,0,133.8666667
"381",118,0,33,48,0,132.2666667
"382",118,0,34,66,0,137.05
"383",119,0,37,28,0,140.6666667
"384",120,0,29.3333333333333,30,0,142.5
"385",120,0,28,9,0,137.2333333
"386",120,0,30,21,0,132.4666667
"387",120,0,31,58,0,148.6333333
"388",121,0,34,82,1,136.05
"389",121,0,34,90,1,152.05
"390",121,0,31,26,0,135.9
"391",122,0,28,22,0,139.9333333
"392",123,1,23,7,0,161.5333333
"394",123,1,24,39,0,187.6833333
"395",124,0,42,1,0,138.7333333
"396",125,0,32,1,0,131.3333333
"397",125,0,36,76,0,136.3166667
"398",126,0,24,26,0,135.95
"399",127,0,31,9,0,135.5666667
"400",127,0,33,51,0,133.25
"401",128,0,38,2,0,139.6166667
"402",129,0,29,22,0,140.4166667
"403",130,0,23,19,0,146.2833333
"404",130,0,24,21,0,140.9666667
"405",130,0,25,41,0,136.2833333
"406",130,0,25,56,0,146.4
"407",131,0,36,17,0,139.95
"412",132,0,34,7,0,129.1166667
"414",133,0,36,2,0,135.15
"415",134,1,31,1,0,145.65
"416",134,1,33,40,0,145.1
"417",134,1,34,58,0,159.9
"418",134,1,35,76,0,147
"419",134,1,35,68,0,147.85
"420",134,1,36,85,0,146.7666667
"421",134,1,32.3333333333333,39,0,148.9
"422",135,1,32,40,0,152.4
"423",135,1,30,3,0,149.2166667
"424",135,1,31,31,0,153.0666667
"425",135,1,32,50,0,151.35
"426",136,0,28,3,0,129.4166667
"427",136,0,32,78,1,129.1833333
"428",136,0,30,54,0,129.1833333
"429",136,0,29,22,0,131.4333333
"430",137,0,29,78,0,131.9
"431",137,0,26,22,0,133.9333333
"432",137,0,27,42,0,135.3166667
"433",138,0,27,32,0,128.2166667
"434",138,0,28,40,0,134.4333333
"435",139,0,27,11,0,139.35
"436",139,0,30,68,1,140.0166667
"437",139,0,31,85,1,136.6333333
"438",139,0,32,87,1,136.5166667
"439",139,0,30,70,1,137.15
"441",140,0,27.8571428571429,32,0,131.6333333
"442",140,0,29.8571428571429,69,0,135.25
"443",140,0,26,7,0,129.6666667
"444",140,0,27,6,0,131.2833333
"445",140,0,28,46,0,132.0833333
"446",140,0,28,17,0,131.2666667
"447",140,0,28,36,0,128.85
"448",140,0,29,55,0,131.8833333
"449",140,0,31,91,0,132.3833333
"450",141,0,37,20,0,154.2833333
"451",141,0,36,3,0,142.0833333
"452",141,0,39,73,0,165.5166667
"453",142,1,40,40,0,156.4666667
"454",142,1,41,58,0,168.95
"455",142,1,42,76,0,160.75
"456",142,1,40,42,0,157.1333333
"457",142,1,38,6,0,154.8166667
"458",142,1,42.1666666666667,83,0,155.5
"459",142,1,40,31,0,158.7666667
"460",142,1,39.1666666666667,39,0,164.3166667
"461",143,0,21,26,0,135.3833333
"462",144,0,27,30,0,142.3
"463",144,0,27,22,0,143.9666667
"464",145,0,23,21,0,143.8
"465",145,0,25,59,1,138.1833333
"466",146,1,37,40,1,141.8666667
"467",146,1,38,58,1,167.2333333
"468",146,1,39,76,1,144.2166667
"469",146,1,36,22,0,143.4666667
"470",146,1,38,50,1,149.6
"471",147,0,31,6,0,142.6666667
"472",148,0,27,9,0,133.6
"473",149,0,27,16,0,131.75
"475",150,0,28,45,0,132.1
"476",150,0,29,6,0,130.6
"477",150,0,30,2,0,132.1833333
"478",150,0,30,25,0,131.4333333
"479",150,0,30,17,0,131.65
"480",150,0,31,21,0,131.8666667
"481",150,0,31,48,0,131.8666667
"482",150,0,31,36,0,130.35
"483",150,0,32,63,0,130.1
"484",150,0,32,64,0,129.5333333
"485",150,0,32,66,0,132.7833333
"487",150,0,33,81,0,151.2833333
"488",150,0,33,84,0,131.7833333
"489",150,0,33,73,0,131.9666667
"490",150,0,34,77,1,133.6
"491",151,0,27,6,0,136.4833333
"492",152,1,32,82,0,163.95
"493",152,1,28,17,0,160.7833333
"494",152,1,29,39,0,169.95
"496",153,0,29.75,3,0,131.5166667
"497",153,0,30.75,30,0,140.1666667
"498",153,0,30,22,0,136.6166667
"500",153,0,34,58,1,143.6166667
"501",153,0,35,76,1,131.85
"502",153,0,32.75,60,1,132.5833333
"503",154,1,32,4,0,162.8
"504",154,1,33,39,0,163.7666667
"507",155,1,30,11,0,163.4666667
"508",155,1,31,31,0,165.3666667
"509",156,1,26,22,0,160.9333333
"510",156,1,26,39,0,164.9333333
"511",157,0,36,26,0,143.3333333
"512",158,0,26,6,0,137.1
"513",158,0,28,40,0,143.4333333
"514",158,0,29,41,0,139.1
"515",158,0,30,59,0,141.0833333
"516",158,0,30,81,1,137.4
"517",158,0,30,93,1,140.1666667
"518",159,0,26,21,0,134.15
"519",160,0,27,21,0,137.85
"520",160,0,28,41,0,136.7
"521",161,0,35,35,0,133.7
"522",161,0,34,16,0,131.5166667
"523",162,0,38,6,0,136.8
"524",162,0,40,40,0,146
"525",162,0,40,41,1,137.5666667
"528",163,0,28,2,0,141.5166667
"529",163,0,29,21,0,141.0833333
"530",163,0,30,41,0,143.2
"531",163,0,32,77,0,144.85
"532",164,1,34,6,0,159.5666667
"533",165,0,27,7,0,132.8666667
"540",166,1,26,26,0,162.5333333
"541",167,1,30,40,0,156.1833333
"542",167,1,32,59,1,156.5166667
"543",167,1,30,25,0,157.4333333
"544",167,1,30,31,0,157.1833333
"545",167,1,29.75,39,0,157.9333333
"554",168,1,24.5,20,0,165.2833333
"555",168,1,23,7,0,148.45
"556",168,1,24,16,0,144.2666667
"557",168,1,24.5,35,0,157.8666667
"558",168,1,25.5,54,0,152.0833333
"559",169,0,32.6666666666667,3,0,135.6
"560",169,0,33.6666666666667,30,0,147.8833333
"561",169,0,32,1,0,142.0833333
"562",169,0,34,25,0,147.15
"563",169,0,35,41,0,137.1166667
"564",170,0,27,63,0,142.5166667
"565",170,0,25,26,0,139.5833333
"566",171,0,24,50,0,133.9666667
"567",171,0,22,23,0,134.65
"570",172,1,28,3,0,143.55
"571",172,1,29,22,0,141.5333333
"572",172,1,31,60,0,146.1333333
"573",173,0,30,1,0,130.8666667
"574",174,1,33,22,0,157.8333333
"575",175,0,22,7,0,134.05
"576",176,0,29.5,30,1,131.2
"577",176,0,30,40,1,129.9666667
"578",176,0,31,42,1,129.3333333
"579",176,0,31.5,60,1,126.35
"580",177,0,27,7,0,128.2
"581",177,0,28,26,0,130.9
"582",178,0,22,11,0,130.8
"583",178,0,24,50,0,130.8833333
"584",178,0,25,68,1,126.4333333
"585",178,0,26,85,1,128.2166667
"588",179,0,20,31,0,127.85
"589",180,0,23,22,0,132.3333333
"590",181,0,29,16,0,129.0166667
"591",182,1,36,41,0,179.5
"592",182,1,35,39,0,163.8833333
"593",183,0,36,31,0,142.1666667
"594",184,0,27,12,0,128.2166667
"595",184,0,27,3,0,130.1166667
"596",184,0,28,26,0,131.0833333
"597",185,1,31,2,0,154.1666667
"598",185,1,32,25,0,159.7333333
"599",185,1,31,13,0,160.0833333
"600",186,0,27,2,0,141.15
"601",186,0,29,41,1,136.9333333
"602",186,0,30,73,1,148.5833333
"603",187,0,25,17,0,140.85
"604",188,1,23,7,0,143.5333333
"605",188,1,25,51,0,150.2833333
"606",189,1,24,26,0,153.3166667
"607",190,1,32,60,1,156.3833333
"608",190,1,30,31,0,161.0166667
"610",191,1,21,17,0,162.25
"611",192,0,30.5,20,0,144.7666667
"612",192,0,29,6,0,162.1666667
"613",192,0,30,25,0,137.85
"614",192,0,31,45,0,141.35
"615",192,0,31,31,0,141.45
"616",192,0,32,50,0,142.7666667
"617",192,0,33,81,1,133.0166667
"618",192,0,33,68,1,136.85
"619",192,0,34,85,1,141.1
"620",193,1,38,41,0,160.6333333
"621",193,1,39,59,0,158.2666667
"622",193,1,37,25,0,156.8833333
"623",193,1,38,63,1,157.6833333
"624",193,1,40,81,1,160.6333333
"625",193,1,35,9,0,155.5333333
"626",193,1,37,48,0,163.7166667
"627",193,1,38,66,0,158.4833333
"628",193,1,39,73,0,162.0666667
"629",193,1,40,91,1,154.1166667
"630",193,1,36.5999999999999,39,0,160.6
"631",194,1,37,2,0,164.2
"632",194,1,38,39,0,174.45
"633",195,1,40.75,20,0,168.8166667
"634",195,1,41,40,0,162.2666667
"635",195,1,41,21,0,163.05
"636",195,1,42,41,0,168.1
"637",195,1,42.75,60,0,162.2166667
"638",195,1,40,11,0,165.8833333
"639",196,1,29,1,0,160.7
"640",196,1,30.5999999999999,20,0,170.9333333
"641",196,1,33,76,1,156.35
"642",196,1,33,59,1,153.05
"643",196,1,31,31,0,165.5166667
"644",196,1,32,52,0,163.6
"645",196,1,30.5999999999999,39,0,164.7333333
"646",197,0,36,15,0,138.8
"647",197,0,36,4,0,139.05
"648",198,0,30,31,0,131.8166667
"649",199,1,23,13,0,167.1666667
"650",199,1,23,15,0,162.2166667
"651",199,1,23,18,0,161.4166667
"652",199,1,24,37,0,159.8666667
"654",200,0,27,28,0,136.7
"655",200,0,29,66,1,135.85
"656",201,0,25,35,0,132.3166667
"657",201,0,24,16,0,129
"658",202,0,28,17,0,134.2166667
"659",202,0,29,21,0,137.0666667
"660",202,0,29,25,0,136.9833333
"661",202,0,29,28,0,134.35
"662",202,0,29,33,0,136.0166667
"663",202,0,29,36,0,136.85
