"","runner","gender","age","course","vp","time"
"554",194,1,24.5,20,0,165.2833333
"555",194,1,23,7,0,148.45
"556",194,1,24,16,0,144.2666667
"557",194,1,24.5,35,0,157.8666667
"558",194,1,25.5,56,0,152.0833333
"559",195,0,32.6666666666667,3,0,135.6
"560",195,0,33.6666666666667,30,0,147.8833333
"561",195,0,32,1,0,142.0833333
"562",195,0,34,25,0,147.15
"563",195,0,35,41,0,137.1166667
"564",196,0,27,66,0,142.5166667
"565",196,0,25,26,0,139.5833333
"566",197,0,24,51,0,133.9666667
"567",197,0,22,23,0,134.65
"570",200,1,28,3,0,143.55
"571",200,1,29,22,0,141.5333333
"572",200,1,31,63,0,146.1333333
"573",201,0,30,1,0,130.8666667
"574",202,1,33,22,0,157.8333333
"575",203,0,22,7,0,134.05
"576",204,0,29.5,30,1,131.2
"577",204,0,30,40,1,129.9666667
"578",204,0,31,42,1,129.3333333
"579",204,0,31.5,63,1,126.35
"580",205,0,27,7,0,128.2
"581",205,0,28,26,0,130.9
"582",206,0,22,11,0,130.8
"583",206,0,24,51,0,130.8833333
"584",206,0,25,71,1,126.4333333
"585",206,0,26,89,1,128.2166667
"588",208,0,20,31,0,127.85
"589",209,0,23,22,0,132.3333333
"590",210,0,29,16,0,129.0166667
"591",211,1,36,41,0,179.5
"592",211,1,35,39,0,163.8833333
"593",212,0,36,31,0,142.1666667
"594",213,0,27,12,0,128.2166667
"595",213,0,27,3,0,130.1166667
"596",213,0,28,26,0,131.0833333
"597",214,1,31,2,0,154.1666667
"598",214,1,32,25,0,159.7333333
"599",214,1,31,13,0,160.0833333
"600",215,0,27,2,0,141.15
"601",215,0,29,41,1,136.9333333
"602",215,0,30,77,1,148.5833333
"603",216,0,25,17,0,140.85
"604",217,1,23,7,0,143.5333333
"605",217,1,25,52,0,150.2833333
"606",218,1,24,26,0,153.3166667
"607",219,1,32,63,1,156.3833333
"608",219,1,30,31,0,161.0166667
"610",221,1,21,17,0,162.25
"611",222,0,30.5,20,0,144.7666667
"612",222,0,29,6,0,162.1666667
"613",222,0,30,25,0,137.85
"614",222,0,31,45,0,141.35
"615",222,0,31,31,0,141.45
"616",222,0,32,51,0,142.7666667
"617",222,0,33,85,1,133.0166667
"618",222,0,33,71,1,136.85
"619",222,0,34,89,1,141.1
"620",223,1,38,41,0,160.6333333
"621",223,1,39,62,0,158.2666667
"622",223,1,37,25,0,156.8833333
"623",223,1,38,66,1,157.6833333
"624",223,1,40,85,1,160.6333333
"625",223,1,35,9,0,155.5333333
"626",223,1,37,48,0,163.7166667
"627",223,1,38,69,0,158.4833333
"628",223,1,39,77,0,162.0666667
"629",223,1,40,95,1,154.1166667
"630",223,1,36.5999999999999,39,0,160.6
"631",224,1,37,2,0,164.2
"632",224,1,38,39,0,174.45
"633",225,1,40.75,20,0,168.8166667
"634",225,1,41,40,0,162.2666667
"635",225,1,41,21,0,163.05
"636",225,1,42,41,0,168.1
"637",225,1,42.75,63,0,162.2166667
"638",225,1,40,11,0,165.8833333
"639",226,1,29,1,0,160.7
"640",226,1,30.5999999999999,20,0,170.9333333
"641",226,1,33,80,1,156.35
"642",226,1,33,62,1,153.05
"643",226,1,31,31,0,165.5166667
"644",226,1,32,53,0,163.6
"645",226,1,30.5999999999999,39,0,164.7333333
"646",227,0,36,15,0,138.8
"647",227,0,36,4,0,139.05
"648",228,0,30,31,0,131.8166667
"649",229,1,23,13,0,167.1666667
"650",229,1,23,15,0,162.2166667
"651",229,1,23,18,0,161.4166667
"652",229,1,24,37,0,159.8666667
"654",231,0,27,28,0,136.7
"655",231,0,29,69,1,135.85
"656",232,0,25,35,0,132.3166667
"657",232,0,24,16,0,129
"658",233,0,28,17,0,134.2166667
"659",233,0,29,21,0,137.0666667
"660",233,0,29,25,0,136.9833333
"661",233,0,29,28,0,134.35
"662",233,0,29,33,0,136.0166667
"663",233,0,29,36,0,136.85
"664",233,0,30,45,0,137
"667",235,1,30,2,0,157
"668",235,1,34,81,1,149.5166667
"669",235,1,30,6,0,152.1
"670",235,1,32,45,0,154.7833333
"671",235,1,31,48,0,156.2333333
"672",235,1,33,69,0,154.5666667
"674",235,1,30,17,0,151.7333333
"675",235,1,31,36,0,150.0166667
"676",235,1,32,57,0,150.4166667
"677",235,1,33,77,0,159
"678",236,1,32,26,0,162.15
"679",237,1,39,41,1,155.3166667
"680",237,1,38,31,0,168.2166667
"681",237,1,41,92,1,162.3
"682",237,1,38,39,0,151.2333333
"683",238,0,25.3333333333333,27,0,138.5
"684",238,0,27,47,0,138.5666667
"685",238,0,27,77,0,142.4666667
"687",239,0,27.5,30,0,133
"688",239,0,26,9,0,132.9333333
"689",239,0,28,40,0,135.4666667
"690",239,0,29,51,0,138.65
"691",239,0,30,80,0,129.4166667
"692",239,0,30,71,0,132.4
"693",239,0,31,89,0,130.75
"694",240,0,27,4,0,143.6666667
"695",241,0,30,1,0,145.7833333
"696",241,0,33.3333333333333,20,0,157.55
"697",241,0,31,2,0,143.4666667
"699",241,0,34,62,1,138.6833333
"700",241,0,34,85,1,144.3666667
"702",242,1,34,2,0,159.2666667
"703",242,1,35,39,0,172.1166667
"704",243,0,31,30,0,137.3166667
"705",243,0,30,1,0,134.2833333
"706",244,1,40,20,0,152.4666667
"707",244,1,39,11,0,148.7666667
"708",245,1,29,82,0,168.4
"709",245,1,25,6,0,160.9166667
"710",245,1,26,39,0,177.75
"711",246,1,41,80,0,168.9166667
"712",246,1,40,41,0,162.9666667
"714",246,1,37,6,0,159.9833333
"715",246,1,41,85,0,161.1833333
"716",246,1,39,36,0,164.6166667
"717",246,1,38.5,39,0,169.6166667
"718",247,1,25,21,0,164.3166667
"719",247,1,26,41,0,162.5
"720",247,1,28,82,1,154.6166667
"721",247,1,25,39,0,169
"722",248,1,34,16,0,156
"723",249,0,33,31,0,142
"724",250,0,28,6,0,136.5666667
"725",251,0,33,8,0,138
"726",251,0,34,27,0,146.05
"727",251,0,37,87,0,144.25
"728",251,0,34,30,0,149.65
"729",251,0,33,6,0,139.7666667
"730",251,0,33,7,0,142.6166667
"731",251,0,36,66,0,141.6
"732",251,0,37,85,0,141.9
"733",252,1,40,61,0,177.4833333
"734",252,1,37.5,3,0,150.1166667
"737",253,1,30,9,0,156.3
"738",254,0,31,6,0,138.35
"739",254,0,31,16,0,138.7166667
"740",254,0,33,57,0,141.4333333
"741",254,0,34,66,1,140.6166667
"742",254,0,36,81,1,137.45
"743",255,0,42,56,0,146.1333333
"744",255,0,28,16,0,142.5833333
"746",256,0,24.75,30,0,147.4333333
"747",256,0,24,13,0,138.1166667
"748",256,0,25,21,0,139.9333333
"750",256,0,28,89,1,134.2166667
"753",258,0,28.75,30,0,147.05
"754",258,0,30.75,72,1,138.5666667
"755",258,0,27,7,0,138.2
"756",258,0,29,22,0,140.3666667
"757",258,0,30,45,0,139.8833333
"758",258,0,31,62,0,144.3666667
"759",259,0,27,36,0,140.35
"760",260,0,35,9,0,143.3833333
"761",261,0,26,6,0,131.5833333
"762",261,0,26,14,0,140.4166667
"763",261,0,28,45,0,138.6166667
"764",262,0,24,2,0,140.4666667
"765",262,0,24,28,0,137.4333333
"766",262,0,25,22,0,155.7
"767",262,0,25,48,0,145.9666667
"768",263,0,29,87,1,138.95
"769",263,0,25,2,0,143.5333333
"770",263,0,27,41,0,143.2833333
"771",263,0,28,62,1,141.85
"772",264,1,26.5,82,1,163.6833333
"773",264,1,23,26,0,151.55
"774",264,1,23,16,0,155.0833333
"775",265,0,24,28,0,138.8833333
"776",266,1,26,1,0,149.1166667
"777",266,1,27.5,20,0,150.8333333
"778",266,1,28,31,0,149.1333333
"779",267,0,30,24,0,138.9
"781",267,0,29,9,0,142.0166667
"782",268,0,35.6666666666667,94,1,131.8666667
"783",268,0,32,11,0,138.1
"784",268,0,35,88,1,132.0166667
"785",268,0,35,71,1,133.9166667
"786",269,1,34,28,0,164.7333333
"787",269,1,36,76,0,159.1666667
"788",270,1,33,2,0,160.9166667
"789",270,1,35,41,0,164.1166667
"790",270,1,36,62,1,156.5166667
"791",270,1,34,22,0,162.8166667
"793",270,1,34,39,0,166.7833333
"796",273,0,27,2,0,135.1666667
"797",274,0,33,4,0,136.7666667
"798",274,0,34,33,0,140.3166667
"799",274,0,35,55,0,139.7333333
"800",275,1,32,2,0,164.4666667
"801",275,1,36,91,1,168.3333333
"802",275,1,33,39,0,177.5833333
"804",277,0,33,28,0,137.9666667
"805",278,1,37,21,0,162.8166667
"806",278,1,38,41,0,163.1833333
"807",278,1,39,62,1,163.45
"808",279,1,33,80,1,158.45
"809",279,1,29,7,0,160.25
"810",279,1,32,51,0,164.8
"811",280,1,33,26,0,164.5333333
"812",280,1,34,52,0,168.3166667
"813",281,1,28,9,0,157.9833333
"815",283,1,26,41,0,161.1
"816",283,1,25,39,0,163.6833333
"817",284,1,31,40,0,177.2666667
"818",284,1,29,3,0,166.0166667
"819",284,1,30,26,0,163.8333333
"820",284,1,32,67,0,164.45
"821",284,1,29,8,0,165.6333333
"822",284,1,30,31,0,171.4
"823",284,1,31,57,0,169.9333333
"824",284,1,30,39,0,185.05
"825",285,1,29,81,1,156.0166667
"826",285,1,26,39,0,155.35
"828",287,0,32,22,0,143.0333333
"830",289,1,25,61,0,186.0166667
"831",289,1,24,22,0,172.75
"832",289,1,26,66,0,164.3833333
"833",289,1,23.8,27,0,164.5166667
"834",289,1,25,47,0,169.0166667
"835",289,1,25.8,68,0,194.7833333
"837",290,1,34,61,1,174
"838",290,1,34,66,1,162.4333333
"839",290,1,32,31,0,162.6166667
"840",291,1,31,66,0,144.4666667
"841",291,1,28,7,0,148.6666667
"842",291,1,31,51,0,149.9333333
"843",291,1,33,89,0,146.8666667
